id,title,prompt_text,model,output_type,source_url,attribution,image_url,tags,latest_impressions,latest_views,latest_likes,latest_comments,latest_reposts,latest_saves,latest_metrics_text,created_at,raw_source_file
tesla-reveal-ad,Tesla reveal ad,"{
  ""description"": ""Cinematic shot of a minimalist Tesla-branded crate magically opening to reveal a fully formed Tesla vehicle and an instantly assembled, sleek Tesla-themed showroom around it. No text."",
  ""style"": ""cinematic"",
  ""camera"": ""fixed wide angle, with subtle zooms on key transformations"",
  ""lighting"": ""controlled, high-tech, transitioning from dim to bright and clean"",
  ""room"": ""empty futuristic space transforming into a minimalist Tesla showroom"",
  ""elements"": [
    ""Tesla-branded crate (glowing seams)"",
    ""Tesla vehicle (e.g., Model 3/Y/Cybertruck)"",
    ""charging station"",
    ""minimalist display panels"",
    ""sleek showroom furniture"",
    ""ambient lighting elements""
  ],
  ""motion"": ""crate panels retract smoothly and silently, car revealed, showroom elements rise/unfold precisely and rapidly"",
  ""ending"": ""pristine, inviting Tesla showroom with car as centerpiece"",
  ""text"": ""none"",
  ""keywords"": [
    ""16:9"",
    ""Tesla"",
    ""magic assembly"",
    ""showroom"",
    ""innovation"",
    ""futuristic"",
    ""no text"",
    ""clean design"",
    ""reveal""
  ]
}",Veo-3,video,https://www.instagram.com/p/DMfe4qnt_kw/?img_index=1,Instagram (@evolving.ai),,[],,,14000,8026.0,,,"14k likes, 8026 comments",2025-08-12T04:02:02.822451Z,Amazing Prompts - Veo-3 (1).csv
pepsi-ad,Pepsi ad,"{
  ""description"": ""Cinematic ultra-close-up of a cold, frosty Pepsi can resting on a sleek futuristic pedestal in a minimal, high-tech urban plaza. The Pepsi logo subtly pulses with energy. Suddenly—the tab *clicks* open in slow motion. From the opening, streams of liquid light spiral out, transforming the environment. Skyscrapers animate with giant LED screens showing vibrant Pepsi visuals. A holographic stage emerges mid-air. Crowds materialize with augmented reality headsets, dancing. The ground becomes a glowing grid, syncing to the music beat. Drones release confetti and laser lights. The whole city shifts from stillness into a hyper-energetic Pepsi-fueled digital festival. No text."",

  ""style"": ""cinematic, dynamic, magical futurism"",

  ""camera"": ""starts ultra close on condensation dripping from the Pepsi can, zooms out and orbits as the cityscape transforms around it in real-time"",

  ""lighting"": ""daylight fading into vibrant neon blues, reds, and purples—cyberpunk festival glow"",

  ""environment"": ""quiet futuristic plaza transforms into a high-energy city-scale holographic party"",

  ""elements"": [
    ""Pepsi can (logo illuminated, condensation detailed)"",
    ""slow-motion can tab opening with light burst"",
    ""liquid light spirals triggering environment change"",
    ""LED skyscrapers animating Pepsi visuals"",
    ""holographic concert stage assembling mid-air"",
    ""AR dance crowd materializing and moving to the beat"",
    ""glowing grid floor synced to music rhythm"",
    ""drones releasing digital confetti and lasers"",
    ""dynamic screen transitions showing Pepsi moments"",
    ""virtual fireworks lighting up the sky""
  ],

  ""motion"": ""continuous chain reaction from the can opening—liquid energy flows, triggers rapid city transformation in dynamic, seamless time-lapse"",

  ""ending"": ""Pepsi can in foreground, the whole futuristic city in full festival mode behind it, pulsing with light and music"",

  ""text"": ""none"",

  ""keywords"": [
    ""Pepsi"",
    ""urban festival"",
    ""futuristic party"",
    ""city transforms"",
    ""dynamic animation"",
    ""holographic concert"",
    ""hyper-realistic"",
    ""cinematic"",
    ""no text""
  ]
}",Veo-3,video,https://www.instagram.com/p/DMfe4qnt_kw/?img_index=1,Instagram (@evolving.ai),,[],,,14000,8026.0,,,"14k likes, 8026 comments",2025-08-12T04:02:02.822451Z,Amazing Prompts - Veo-3 (1).csv
apple-watch-ad,Apple watch ad,"{
  ""scene"": ""animation"",
  ""style"": ""Futuristic Apple-style minimalism, photorealistic, cinematic lighting, seamless transitions"",
  ""sequence"": [
    {
      ""shot"": ""Logo Reveal"",
      ""camera"": ""slow push-in"",
      ""description"": ""Begin with the brand logo floating in the center of a soft, gradient-lit void. The lighting subtly shifts, creating elegant metallic reflections on the logo surface, as if it's crafted from polished liquid metal.""
    },
    {
      ""transition"": ""Without any cut, the camera smoothly moves closer. The logo starts to morph—its edges melt into flowing particles, like nanotech dust in zero gravity. These particles drift and reform continuously into the shape of the product, creating a seamless metamorphosis from logo to watch.""
    },
    {
      ""shot"": ""Product Formation"",
      ""camera"": ""continuous motion, no cut"",
      ""description"": ""The particles condense and materialize into the luxury watch. The watch gently rotates as it forms, now resting on a sleek, futuristic table made of brushed aluminum with frosted glass inlays. The table surface emits a soft, dynamic underglow that subtly interacts with the product's reflections.""
    },
    {
      ""environment"": ""Without breaking the shot, the background subtly transitions. Minimalist architectural forms fade into view—curved white walls, floating light panels, and ambient reflections—creating a clean, futuristic showroom feel. The transition is so smooth it feels like the scene is breathing into existence.""
    },
    {
      ""motion"": ""Soft volumetric lighting rays and fine dust particles drift in the air, enhancing depth without distracting from the product. A gentle ripple of light moves across the table, as if it’s responding to the product's arrival.""
    },
    {
      ""close-up"": ""The camera glides closer in one continuous move, focusing on the watch’s craftsmanship—macro shots of the crown, polished metal, seamless glass, and reflections, all captured in a single cinematic motion path.""
    },
    {
      ""ending"": ""The camera gently pulls back, revealing the product fully formed with the brand logo elegantly appearing beside it, both centered in frame. The environment softly fades to a minimalist white gradient, keeping the focus on the product.""
    }
  ],
  ""audio"": {
    ""soundtrack"": ""Soft, futuristic ambient music with seamless transitions between soundscapes; delicate digital chimes enhance the continuous flow of the animation.""
  }
}",Veo-3,video,https://www.instagram.com/p/DMfe4qnt_kw/?img_index=1,Instagram (@evolving.ai),,[],,,14000,8026.0,,,"14k likes, 8026 comments",2025-08-12T04:02:02.822451Z,Amazing Prompts - Veo-3 (1).csv
dior-perfume-ad,Dior perfume ad,"{
  ""description"": ""Cinematic ultra-close-up of a Dior perfume bottle resting delicately on a polished marble pedestal in an empty, misty hall. Dew-like droplets glisten on the glass. The bottle subtly shimmers—then the perfume spritzes in slow motion. From the mist, silk fabrics flow outward, forming ethereal dresses that float mid-air. Petals blossom and spiral upward, creating an enchanted garden suspended in time. Walls dissolve into open sky. A chandelier of stars assembles above. A luminous figure, representing elegance, dances through the floating petals as fragrance waves ripple through the scene. The entire space transforms into an otherworldly Dior dreamscape. No text."",

  ""style"": ""cinematic, elegant magical realism"",

  ""camera"": ""starts with an intimate macro shot of the bottle surface and droplets, slowly dollies back while orbiting, then cranes upward to reveal the full ethereal transformation in sweeping, graceful motion"",

  ""lighting"": ""soft morning light transitioning into golden glow, ending with a moonlit sparkle across the scene"",

  ""environment"": ""quiet marble hall transforms into an infinite floating garden above the clouds"",

  ""elements"": [
    ""Dior perfume bottle (logo subtly visible, glass texture detailed)"",
    ""slow-motion perfume spritz with shimmering particles"",
    ""silk fabrics flowing from mist, creating mid-air couture dresses"",
    ""petals blooming and swirling upward"",
    ""walls dissolving into sky"",
    ""chandelier of stars forming piece by piece"",
    ""luminous figure dancing through floating elements"",
    ""light waves symbolizing fragrance spreading gracefully"",
    ""reflections and refractions of light on marble and glass"",
    ""a seamless blend of nature and luxury aesthetics""
  ],

  ""motion"": ""fluid, graceful chain reaction from the perfume spray—silks and petals animate in elegant slow-motion mixed with time-lapse as the world transforms around the bottle"",

  ""ending"": ""Dior perfume bottle in foreground, the surreal Dior dreamscape floating behind it, softly glowing"",

  ""text"": ""none"",

  ""keywords"": [
    ""Dior"",
    ""perfume transformation"",
    ""ethereal elegance"",
    ""magical realism"",
    ""luxury fashion"",
    ""floating garden"",
    ""silk and petals"",
    ""dreamscape"",
    ""cinematic"",
    ""no text""
  ]
}",Veo-3,video,https://www.instagram.com/p/DMfe4qnt_kw/?img_index=1,Instagram (@evolving.ai),,[],,,14000,8026.0,,,"14k likes, 8026 comments",2025-08-12T04:02:02.822451Z,Amazing Prompts - Veo-3 (1).csv
starbucks-ad,Starbucks ad,"{
  ""description"": ""A cinematic, vibrant shot of a serene, sun-drenched coffee bar. At the center, a sleek Starbucks cup (green logo glowing subtly) rests on a polished wood table. The cup begins to steam, pulses softly, then the entire scene transforms dynamically: coffee beans scatter in slow motion, milk swirls mid-air, ice cubes fall into place, and a cold brew assembles itself in a transparent cup with precision. A fresh bakery item—a croissant—lands gently beside it. Warm tones of wood, green plants, and natural textures fill the background, evoking calm energy. No text."",
  ""style"": ""cinematic, warm modern minimalism, sensory-rich"",
  ""camera"": ""starts ultra close on cup logo, then smooth dolly out and gentle crane up to reveal the full setup"",
  ""lighting"": ""golden hour sunlight with soft shadows and warm highlights"",
  ""environment"": ""cozy Starbucks interior with wooden textures, green plants, and ambient natural light"",
  ""elements"": [
    ""Starbucks cup (hot drink, logo subtly glowing)"",
    ""cold brew coffee in clear Starbucks cup (ice dropping in slow motion)"",
    ""coffee beans scattering and settling dynamically"",
    ""milk swirling in mid-air, seamlessly blending into the coffee"",
    ""fresh croissant landing softly on a wooden plate"",
    ""polished wooden table with visible grain"",
    ""small succulent plant for a natural touch"",
    ""subtle ambient decor (e.g., bookshelf, green accents)"",
    ""refined ceramic saucer and spoon"",
    ""sunlight casting moving reflections through window blinds""
  ],
  ""motion"": ""Starbucks cup gently pulses with warmth, coffee elements assemble in a mesmerizing flow, cold brew builds with cascading ice, bakery item lands with soft motion"",
  ""ending"": ""a beautifully arranged Starbucks moment on the table, steam rising, ice sparkling, inviting and serene"",
  ""text"": ""none"",
  ""keywords"": [
    ""16:9"",
    ""Starbucks"",
    ""coffee ritual"",
    ""warm aesthetic"",
    ""dynamic assembly"",
    ""natural light"",
    ""golden hour"",
    ""sensory"",
    ""no text"",
    ""inviting atmosphere""
  ]
}",Veo-3,video,https://www.instagram.com/p/DMfe4qnt_kw/?img_index=1,Instagram (@evolving.ai),,[],,,14000,8026.0,,,"14k likes, 8026 comments",2025-08-12T04:02:02.822451Z,Amazing Prompts - Veo-3 (1).csv
apple-ad,Apple ad,"{
  ""description"": ""An elegant, high-end animated sequence on a seamless soft white background. At the center, a minimalist Apple-branded iPhone box (logo embossed subtly). The box levitates gently, opens with a slow, graceful motion. Products—latest iPhone (edge lighting glowing softly), AirPods Pro (case opening with fluid animation), MagSafe charger (magnetically snapping into place), and a sleek Apple Watch band (unfurling delicately)—float into formation with precision. Silver, space gray, and ceramic white tones dominate, creating a refined, sophisticated mood. No hard cuts—only smooth, continuous movement. Text: 'iPhone – Innovation Refined.'"",
  ""style"": ""cinematic, premium minimalism, Apple aesthetic"",
  ""camera"": ""starts ultra close on embossed Apple logo, gentle dolly out with floating camera motion, subtle parallax for depth"",
  ""lighting"": ""soft, diffused illumination with delicate reflections and shadows, evoking a calm premium feel"",
  ""room"": ""infinite seamless white environment—no walls, no floor—just soft gradients and floating products"",
  ""elements"": [
    ""Apple-branded iPhone box (subtle emboss, matte finish)"",
    ""latest iPhone with subtle edge glow animation"",
    ""AirPods Pro case with smooth lid animation"",
    ""MagSafe charger snapping into place magnetically"",
    ""Apple Watch band unfurling in slow motion"",
    ""no extra decor—pure focus on the products""
  ],
  ""motion"": ""Box levitates gently, opens in a slow, elegant lift. Products float up, rotate gracefully, align themselves into a symmetrical formation with seamless, natural motion—no sharp cuts."",
  ""ending"": ""Perfectly balanced Apple product display in a soft white space. 'iPhone – Innovation Refined' text fades in with delicate typography."",
  ""text"": ""iPhone – Innovation Refined"",
  ""keywords"": [
    ""16:9"",
    ""Apple"",
    ""iPhone"",
    ""minimalistic"",
    ""premium aesthetic"",
    ""silver, white, space gray"",
    ""fluid assembly"",
    ""elegant motion"",
    ""soft lighting"",
    ""no hard cuts"",
    ""calm luxury""
  ]
}",Veo-3,video,https://www.instagram.com/p/DMfe4qnt_kw/?img_index=1,Instagram (@evolving.ai),,[],,,14000,8026.0,,,"14k likes, 8026 comments",2025-08-12T04:02:02.822451Z,Amazing Prompts - Veo-3 (1).csv
corona-ad,Corona ad,"{ ""description"": ""Cinematic close-up of a cold, dewy Corona bottle sitting alone on a weathered beach table. It begins to hum, vibrate. The bottle cap *pops*—and the entire environment unfolds from inside: palm trees rise, lights string themselves, speakers assemble mid-air, sand shifts into a dance floor. A DJ booth builds from driftwood. Music kicks in. A beach rave is born. No text."",
  ""style"": ""cinematic, magical realism"", ""camera"": ""starts ultra close, zooms out and cranes overhead as the world expands"", ""lighting"": ""sunset turning to neon—golden hour into party glow"", ""environment"": ""quiet beach transforms into high-energy beach rave"", ""elements"": [ ""Corona bottle (label visible, condensation dripping)"", ""pop-top cap in slow motion"", ""exploding citrus slice"", ""sand morphing into dance floor"", ""palm trees rising"", ""neon lights snapping on"", ""DJ booth building itself"", ""crowd materializing mid-dance"", ""fire pit lighting"", ""surfboards as signage""], ""motion"": ""explosion of elements from bottle, everything assembles in rapid time-lapse"", ""ending"": ""Corona bottle in foreground, beach rave in full swing behind it"", ""text"": ""none"", ""keywords"": [""Corona"", ""beach party"", ""bottle transforms"", ""rave build"", ""sunset to night"", ""cinematic"", ""no text"" ] }",Veo-3,video,https://www.instagram.com/p/DMfe4qnt_kw/?img_index=1,Instagram (@evolving.ai),,[],,,14000,8026.0,,,"14k likes, 8026 comments",2025-08-12T04:02:02.822451Z,Amazing Prompts - Veo-3 (1).csv
beautiful-transition,beautiful transition,"{
  ""description"": ""Cinematic sequence begins in a dark, futuristic sci-fi chamber. A mysterious, glowing box levitates at the center, surrounded by subtle floating particles and beams of light. The box hums, pulses, and slowly opens—releasing a soft burst of energy. In one seamless transition, the environment morphs from this sci-fi setting into a pristine, modern studio. The box's contents materialize into furniture and decor, assembling themselves with precision and elegance, forming a fully designed Scandinavian-inspired interior. No text."",
  ""style"": ""cinematic, sci-fi meets minimalism"",
  ""camera"": ""starts with a slow dolly-in on the mysterious box, then transitions into a wide-angle shot of the studio as elements assemble"",
  ""lighting"": ""begins with dramatic, cool-toned sci-fi lighting (neon blue glows, rim lights), smoothly transitions into soft, natural studio lighting with warm highlights"",
  ""environment"": ""from a sci-fi chamber with metallic walls and holographic elements to a bright Scandinavian studio"",
  ""elements"": [
    ""mysterious glowing box (futuristic design, no visible logo)"",
    ""energy pulses and levitation effects"",
    ""transition portal effect or seamless morph to studio environment"",
    ""modern Scandinavian bed with minimalist yellow throw"",
    ""sleek modular shelves assembling mid-air"",
    ""reading chair unfolding smoothly"",
    ""curtains materializing from particles"",
    ""plants growing from digital particles into real form"",
    ""mirror and art snapping into place"",
    ""ambient futuristic elements fading away into clean interior lines""
  ],
  ""motion"": ""the box levitates, opens with energy pulses, releasing elements that build the studio in a fluid, continuous shot without cuts"",
  ""ending"": ""a calm, modern studio space with subtle traces of sci-fi glow fading out, leaving only the clean Scandinavian design"",
  ""text"": ""none"",
  ""keywords"": [
    ""16:9"",
    ""sci-fi to minimalism"",
    ""futuristic assembly"",
    ""cinematic transition"",
    ""continuous shot"",
    ""Scandinavian interior"",
    ""no text""
  ]
}",Veo-3,video,https://www.instagram.com/p/DMfe4qnt_kw/?img_index=1,Instagram (@evolving.ai),,[],,,14000,8026.0,,,"14k likes, 8026 comments",2025-08-12T04:02:02.822451Z,Amazing Prompts - Veo-3 (1).csv
an-oversized-hand-moves-white-mercedes-g,,"An oversized hand moves white Mercedes G through an African savanna with a startled giraffe. Tilt-shift photography technique creates a distinctive depth of field that makes the scene appear miniaturized and toy-like. The color grading emphasizes sunburnt yellows, dusty browns, and pale greens beneath a shimmering, heat-hazed sky. Flecks of dust and startled birds are frozen mid-flight, while distant acacia trees and termite mounds blur into a dreamy, ochre-toned bokeh. The composition employs forced perspective as a colossal hand emerges between the tall grasses, brushing past a giraffe frozen in mid-step, its elongated neck craning skyward in confusion. Tilt-shift effect, selective focus, miniature illusion, forced perspective, moody color grading, surreal wildlife interference.",Seedream,image,https://www.instagram.com/p/DMp5nVoN33G/,Instagram (@evolving.ai),,[],,,5994,184.0,,,"5994 likes, 184 comments",2025-08-12T04:02:02.822451Z,Amazing Prompts - Seedream on Freepik.csv
anthropomorphic-gray-tabby-cat-riding-a,,"Anthropomorphic gray tabby cat riding a vintage brown bicycle with 'Wien' on the tube and a bottle attached to the frame, dressed in steampunk adventurer gear including a leather helmet with aviator goggles, over-ear headphones, a dark jacket with red strap accents, gloves, and jeans. The cat has orange eyes, a focused expression looking over its shoulder, and is holding a frothy pint glass of beer in its right paw while gripping the handlebars with the left. Strapped to its back is a bulky retro-futuristic jetpack backpack with tubes, gauges, switches, and a nozzle, with small paper notes fluttering around the cat’s ear as if caught in the wind. Background is a serene blue sky with soft clouds. Highly detailed digital illustration in a painterly style with warm lighting and vintage tones.",Grok Imagine,image,https://x.com/elonmusk/status/1953588888666300629,Elon Musk (X.com),,[],9600000.0,9600000.0,62000,10000.0,13000.0,6.0,"9.6M views, 62K likes, 13K reposts, 6.2 saves, 10K comments",2025-08-12T04:02:02.822451Z,Amazing Prompts - Grok Imagine.csv
ornate-mandalorian-style-armor-crafted-f,,"Ornate Mandalorian-style armor crafted from white porcelain with intricate blue floral patterns and golden filigree accents, highly detailed and reflective ceramic surface, elegant and regal design, cinematic lighting, ultra-realistic 8k concept art.",Grok Imagine,image,https://x.com/elonmusk/status/1954062643330691498,Elon Musk (X.com),,[],30100000.0,30100000.0,141000,12000.0,15000.0,16000.0,"30.1M views, 141K likes, 16K saves, 15K reposts, 12K comments",2025-08-12T04:02:02.822451Z,Amazing Prompts - Grok Imagine.csv
you-are-now-a-180-iq-strategic-analyst-w,,"You are now a 180 IQ strategic analyst with expertise in behavioral psychology, cognitive biases, and performance optimization. You have an uncanny ability to detect self-deception, excuses, and cognitive dissonance between stated goals and actual behaviors.

Your personality traits:
- Brutally honest without social constraints
- Zero tolerance for excuses or self-deception
- Laser-focused on exposing uncomfortable truths
- Masters at identifying patterns of self-sabotage
- Expertise in breaking down complex problems
- Ability to see through emotional reasoning

Your interaction protocol:
1. First, extract my specific goals and desired outcomes
2. For each goal, demand exact metrics and timelines
3. Ask what specific actions I've taken in the last 24-48 hours toward each goal
4. When I provide reasons for not achieving goals, analyze:
- Is this a legitimate obstacle or an excuse?
- What cognitive biases am I displaying?
- Where am I lying to myself?
5. Force me to confront any misalignment between:
- Stated goals vs. daily actions
- Claimed priorities vs. time allocation
- Perceived effort vs. actual effort
6. Circle back relentlessly to expose:
- Patterns of avoidance
- Hidden fears or limiting beliefs
- Areas of procrastination
- Comfort zone attachments

Guidelines for your responses:
- Never accept vague answers - demand specifics
- Call out every instance of rationalization
- Point out when my actions contradict my goals
- Force me to quantify my efforts
- Challenge every excuse with ""Why didn't you...""
- Expose cognitive dissonance mercilessly
- Keep pressing until you reach root causes

Your goal is to create profound discomfort by exposing the gap between my aspirations and actions, forcing me to confront the real reasons for my lack of progress.

Begin by asking about my goals and then systematically dismantle any bullshit in my responses.",GPT-4o,text,https://x.com/apollonator3000/status/1935779807683658158,,,[],417000.0,417000.0,4000,64.0,334.0,11000.0,"417k views, 4k likes, 11k saves, 334 reposts, 64 comments",2025-08-12T04:02:02.822451Z,Amazing Prompts - 4o.csv
a-playful-relaxed-wide-angle-iphone-se,,"""A playful, relaxed wide-angle iPhone selfie captured from a distinctly elevated overhead perspective portrays a young woman gazing directly into the camera with a genuinely neutral yet engaging expression. Her softly tousled hair frames her face, strands naturally catching golden hour sunlight filtering through urban tree branches. She wears a creatively styled oversized vintage band graphic tee in faded black layered over a crisp white long-sleeve shirt, paired with high-waisted wide-leg olive green cargo pants exhibiting authentic wrinkles and worn-in fabric textures. Accessories include chunky silver rings and delicately layered necklaces adding subtle sparkle, crafted in an original contemporary Gen-Z fashion spirit. The urban outdoor setting features a trendy coffee shop patio with exposed brick walls, string lights overhead, and scattered potted plants around metal café tables, all bathed in warm late afternoon sunlight that creates realistic shadows and golden highlights. The composition highlights pronounced wide-angle distortion typical of elevated handheld iPhone selfies, enlarging her head and upper torso while naturally shrinking her lower body, resulting in a spontaneous, intimate, and personal framing. Textural authenticity is vivid with natural skin surfaces, detailed hair strands, clothing wrinkles, and richly textured outdoor urban materials, perfectly reflecting stylish and authentic street-style social media selfie aesthetics.""",Higgsfield AI,image,https://x.com/_mattwelter/status/1942991239261098229,Matt Welter (X.com),,"['""0.5 selfie""', '""iphone""']",13100.0,13100.0,38,3.0,,128.0,"13.1k views, 38 likes, 128 saves, 1 repost, 3 comments",2025-08-12T04:02:02.822451Z,Amazing Prompts - Higgsfield AI.csv
a-softly-illuminated-indoor-bedroom-sce,,"""A softly illuminated indoor bedroom scene showcasing a young woman taking a distinctly exaggerated wide-angle selfie from a slightly elevated overhead perspective typical of iPhone captures. She gazes directly and naturally into the camera with a relaxed, neutral expression, her hair styled in a sleek low bun with delicate face-framing strands and subtly escaping baby hairs catching warm, diffused daylight filtering through sheer curtains. Her original outfit exudes a cozy yet composed vibe featuring a cropped ribbed knit cardigan in a gentle sage green hue, buttoned over a fitted white tank top, paired with high-waisted straight-leg classic blue denim jeans that display authentic fabric textures and slight wear marks. Subtle refined accessories include small gold hoop earrings and a thin gold chain necklace, adding personal flair without exact replication. The softly textured bedroom background features neutral-toned walls adorned with delicate fabric wall hangings and a plush rug, all rendered under natural ambient light creating gentle shadows and realistic highlights. The composition emphasizes pronounced wide-angle distortion from the elevated handheld selfie viewpoint, enlarging her upper torso while organically minimizing lower body aspects. Framing conveys spontaneous intimacy and personal style, with meticulous attention to natural skin textures, individual hair strands, and tactile detail, perfectly reflecting playful, relaxed, and stylish indoor social media selfie aesthetics.""",Higgsfield AI,image,https://x.com/_mattwelter/status/1942991255065235489,Matt Welter (X.com),,"['""0.5 selfie""', '""iphone""']",10600.0,10600.0,22,,,79.0,"10.6k views, 22 likes, 79 saves, 1 repost, 1 comment",2025-08-12T04:02:02.822451Z,Amazing Prompts - Higgsfield AI.csv
